FSTVL_NM,ADRES,FSTVL_PLACE,BGNG_YMD,END_YMD,TELNO
"경주국악여행 <국악살롱콘서트>","경상북도 경주시 태종로 755, 문정헌 (노동동)","문정헌",1602774000000,1604674800000,"054-777-6930"
"2020 교촌문화공연 ","경상북도 경주시 교촌길 39-2, 경주교촌마을 (교동)","교촌한옥마을 ",1603465200000,1604674800000,"054-777-6930"
"경주 참가자미 대축제","경상북도 경주시 감포읍 감포로8길 14-6","감포항",1622473200000,1624978800000,"054-779-6325"
"해외어장(러시아) 개척 환송식","","감포항",1625065200000,1627657200000,"054-779-6317"
"해변가요제","경상북도 경주시 감포읍 감포로8길 14-6","경주시 해수욕장",1627743600000,1630335600000,"054-779-6325"
"수산업경영인대회","경상북도 경주시 감포읍사무소","감포읍",1633014000000,1635606000000,"054-779-6313"
"경주바다 전국 사진공모전","","감포읍 ~ 양남면 해변(경주바다)",1633014000000,1635606000000,"054-779-6321"
"경주 한우와 농축수산물 한마당축제","","황성공원 실내체육관 일원",1633014000000,1635606000000,"054-779-6272"
"2021 경주문화재야행","경상북도 경주시 교촌길 39-2, 교촌마을 일원(교동)","경주교촌 한옥마을 일원",1636038000000,1636210800000,"054-743-7182"
"2022 동아시아문화도시 경주 개막행사","경상북도 경주시 교촌길 39-2 (교동)","경주 월정교 일원",1648134000000,1648134000000,"054-779-8585"
"제5회 경주시 부부의날 행사","경상북도 경주시 교촌안길 27-20, 교동17-1번지 (교동)","경주향교 명륜당",1653058800000,1653058800000,"054-775-3624"
"황오 재즈 축제","경상북도 경주시 원화로 266 (성동동)","경주역 광장",1661439600000,1661526000000,"054-775-2598"
"제49회 신라문화제 - 신라예술제","","봉황대 광장",1664463600000,1664722800000,"054-772-6558"
"제49회 신라문화제","","봉황대 및 월정교 일원",1665673200000,1665846000000,"054-777-5952"
