언어명,시군구명,시도명,관광지명,url,KTO카테고리대분류명,KTO카테고리중분류명,KTO카테고리소분류명,사용자방문건수
영어권,경주시,경상북도,Gyeongju Bulguksa Temple [UNESCO World Heritage] (경주 불국사 [유네스코 세계문화유산]),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264261,인문(문화/예술/역사),역사관광지,사찰,4627
영어권,경주시,경상북도,Gyeongju Donggung Palace and Wolji Pond (경주 동궁과 월지),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264367,인문(문화/예술/역사),역사관광지,고궁,4030
영어권,경주시,경상북도,Gyeongju World Amusement (경주월드 어뮤즈먼트),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1389974,인문(문화/예술/역사),휴양관광지,테마공원,2472
영어권,경주시,경상북도,Gyeongju Seokguram Grotto [UNESCO World Heritage] (경주 석굴암 [유네스코 세계문화유산]),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264260,인문(문화/예술/역사),역사관광지,사찰,1941
영어권,경주시,경상북도,Gyeongju Gyochon Traditional Village (경주 교촌마을),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1863026,인문(문화/예술/역사),역사관광지,민속마을,1904
영어권,경주시,경상북도,Gyeongju Yangdong Village [UNESCO World Heritage] (경주 양동마을 [유네스코 세계문화유산]),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=804281,인문(문화/예술/역사),역사관광지,민속마을,1843
영어권,경주시,경상북도,Woljeonggyo Bridge (월정교),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2669812,인문(문화/예술/역사),역사관광지,유적지/사적지,1820
영어권,경주시,경상북도,Cheomseongdae Observatory (경주 첨성대),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264256,인문(문화/예술/역사),역사관광지,유적지/사적지,1818
영어권,경주시,경상북도,Daereungwon Tomb Complex (Cheonmachong Tomb) (대릉원(천마총)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264117,인문(문화/예술/역사),역사관광지,유적지/사적지,1583
영어권,경주시,경상북도,Gyeongju Historic Area [UNESCO World Heritage] (경주역사유적지구 [유네스코 세계문화유산]),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=995361,인문(문화/예술/역사),역사관광지,유적지/사적지,1185
영어권,경주시,경상북도,Gyeongju Daereungwon Ancient Tomb Complex (경주 대릉원 일원),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2818690,인문(문화/예술/역사),역사관광지,유적지/사적지,1111
영어권,경주시,경상북도,Bomun Tourist Complex (경주 보문관광단지),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264264,인문(문화/예술/역사),휴양관광지,관광단지,958
영어권,경주시,경상북도,Gyeongju Folk Craft Village (경주민속공예촌),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1863272,인문(문화/예술/역사),역사관광지,민속마을,693
영어권,경주시,경상북도,Gyeongju Namsan Mountain (경주 남산),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=806320,자연,자연관광지,산,632
영어권,경주시,경상북도,Gyeongju Golgulsa Temple (골굴사 (경주)),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264606,인문(문화/예술/역사),역사관광지,사찰,623
영어권,경주시,경상북도,Gyeongju National Museum (국립경주박물관),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=268141,인문(문화/예술/역사),문화시설,박물관,565
영어권,경주시,경상북도,Gyeongju Expo Park (경주엑스포공원),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=950952,인문(문화/예술/역사),휴양관광지,테마공원,514
영어권,경주시,경상북도,Bunhwangsa Temple (분황사),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=1320354,인문(문화/예술/역사),역사관광지,사찰,364
영어권,경주시,경상북도,Gyeongju National Park (경주국립공원),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=264265,자연,자연관광지,국립공원,343
영어권,경주시,경상북도,Gyeongju Bird Park (경주 버드파크),https://english.visitkorea.or.kr/enu/ATR/SI_EN_3_1_1_1.jsp?cid=2371627,인문(문화/예술/역사),휴양관광지,테마공원,334
